gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0128200,412,585,59,216,251,367,463,657
Os01g0128250,22,19,0,0,22,35,37,19
Os01g0128300,300,382,118,169,158,215,241,236
Os01g0128400,1062,1388,2284,2971,3581,4481,2605,1766
Os01g0128700,170,253,86,146,60,149,77,35
Os01g0128800,4413,4560,963,1499,1287,1418,1240,875
Os01g0129200,0,0,0,0,0,0,0,0
Os01g0129500,75,93,109,147,478,366,362,279
Os01g0129550,5,4,0,10,10,4,8,12
Os01g0129600,0,0,0,11,210,42,0,0
Os01g0129800,0,0,0,0,0,0,0,0
Os01g0130000,1368,1947,1383,2381,3795,2897,2076,2221
Os01g0130100,27,35,39,61,78,73,64,86
Os01g0130200,1691,909,128,335,854,990,122,43
Os01g0130400,21,28,58,31,4185,5103,1982,425
Os01g0130500,4,0,0,0,21,6,6,28
Os01g0130900,111,88,508,356,4523,4766,6086,9576
Os01g0131250,0,0,0,0,0,0,0,0
Os01g0131300,10729,11809,17424,14633,10616,10857,12564,11460
Os01g0131450,5599,6024,14321,12211,38784,43477,13466,8857
Os01g0131600,2092,2424,5892,5429,16956,15081,8185,10103
Os01g0131800,334,380,385,453,436,560,393,366
Os01g0131900,0,6,2,0,0,0,29,30
Os01g0132000,698,279,21,525,5651,7857,7251,8681
Os01g0132050,0,14,7,22,149,180,41,0
Os01g0132100,0,5,14,22,0,0,0,15
Os01g0132200,0,0,0,0,0,0,0,0
Os01g0132400,0,0,0,0,0,0,0,0
Os01g0132500,504,714,531,745,321,364,381,278
Os01g0132700,225,212,306,325,317,288,226,339
Os01g0132766,62,99,196,120,233,225,187,147
Os01g0132800,416,474,700,780,2127,2087,2390,2602
Os01g0133100,0,10,0,0,32,39,2,0
Os01g0133200,0,0,0,0,0,4,5,0
Os01g0133400,2101,2569,3405,3505,3711,3547,1446,1355
Os01g0133500,1080,894,284,343,260,213,646,608
Os01g0133600,6,0,0,9,0,0,29,0
Os01g0133650,0,0,0,0,0,0,0,3
Os01g0133700,0,0,0,0,0,0,0,0
Os01g0133766,0,0,0,0,0,0,0,0
Os01g0133799,0,0,0,0,0,0,3,0
Os01g0133832,8,8,7,0,0,3,0,0
Os01g0133866,0,3,13,0,0,0,0,0
Os01g0133900,20,16,4,4,12,0,3,3
Os01g0134200,13,12,5,38,36,40,42,28
Os01g0134500,879,920,4257,2964,2293,2034,1840,1608
Os01g0134700,83,513,395,644,1826,2601,316,66
Os01g0134800,3,4,0,0,0,0,0,0
Os01g0134850,0,0,0,0,0,0,0,0
Os01g0134900,57,42,667,114,139,63,19,51
Os01g0135000,0,0,15,0,0,7,10,0
Os01g0135600,103,135,188,164,476,463,614,274
Os01g0135700,266,598,185,295,194,321,645,1395
Os01g0135800,3,0,0,18,4,0,10,0
Os01g0135900,2599,2376,3158,2244,19814,16119,9340,14989
Os01g0136000,4,0,0,9,5,6,0,3
Os01g0136050,14,3,10,11,5,0,0,3
Os01g0136100,47,70,16,363,7,0,9,11
Os01g0136200,17,82,15,194,42,35,17,81
Os01g0136300,20,4,55,29,89,45,111,318
Os01g0136400,988,948,719,908,1977,2158,836,722
Os01g0136450,120,76,169,73,254,253,48,11
Os01g0136500,367,393,303,467,639,702,200,46
Os01g0136502,2,0,0,0,8,13,0,0
Os01g0136600,88,85,172,122,377,329,350,459
Os01g0136700,3,0,8,10,582,674,40,0
Os01g0136800,188,153,261,514,692,846,300,226
Os01g0136850,0,0,5,1,5,24,0,0
Os01g0136900,17,11,0,75,126,67,65,41
Os01g0137066,0,0,0,0,2,0,1,0
Os01g0137125,0,0,0,23,31,46,0,0
Os01g0137150,0,10,12,8,14,0,0,0
Os01g0137200,7,1,36,16,47,58,38,12
Os01g0137232,1,33,8,6,24,53,66,63
Os01g0137250,0,0,0,22,76,80,88,0
Os01g0137266,0,0,0,2,8,7,8,0
Os01g0137282,4,15,8,23,276,349,107,15
Os01g0137300,211,151,337,214,241,345,216,142
Os01g0137400,0,0,33,11,58,187,52,11
Os01g0137500,0,7,7,0,5,19,0,0
Os01g0137550,0,0,0,0,7,9,0,0
Os01g0137700,8,27,64,150,1278,1266,61,23
Os01g0137750,0,0,0,0,0,0,0,0
Os01g0137800,12,0,35,249,2939,2643,29,0
Os01g0137875,0,32,61,311,2269,2643,141,21
Os01g0137950,0,0,26,135,722,773,85,36
Os01g0138000,17,23,63,0,69,109,112,187
Os01g0138100,0,0,7,0,25,24,14,7
Os01g0138232,0,0,0,0,5,6,0,0
Os01g0138300,140,201,153,185,760,826,253,215
Os01g0138350,0,0,0,0,21,9,8,28
Os01g0138400,8,21,6,115,436,794,15,81
Os01g0138451,0,0,0,0,0,0,0,0
Os01g0138500,829,641,87,120,195,464,73,346
Os01g0138600,53,19,152,68,75,89,101,81
Os01g0138800,312,256,0,87,291,347,201,254
Os01g0138900,2242,2920,1131,2245,4470,5684,9034,12674
Os01g0139000,34,12,27,17,65,84,82,76
Os01g0139200,2099,3663,6567,9564,29080,27832,14618,7827
Os01g0139600,6,18,0,4,0,0,0,0
Os01g0139700,46,22,90,42,0,22,67,31
Os01g0139900,5,0,0,0,0,0,0,0
Os01g0140100,114,94,948,167,1488,1341,434,605
Os01g0140400,85,99,247,143,388,380,164,56
Os01g0140500,911,1186,1217,1886,2069,2403,1896,1830
Os01g0140700,63,158,298,281,936,723,186,100
Os01g0141000,1276,5607,33461,32173,38451,31803,16587,4522
Os01g0141100,5252,6547,7599,8330,11047,10982,5706,5742
Os01g0141150,10,19,18,16,27,31,15,7
Os01g0141300,0,0,0,0,0,0,0,0
Os01g0141450,0,0,0,0,0,0,0,0
Os01g0141600,1670,1915,2271,2013,1749,1705,2526,1899
Os01g0141700,663,672,797,569,270,280,271,275
Os01g0141900,999,892,1383,1544,2162,1984,1411,979
Os01g0142100,7024,5985,7488,7886,5337,5583,6867,5695
Os01g0142200,603,480,694,753,667,807,600,875
Os01g0142300,10500,13574,3932,4240,166,232,529,330
Os01g0142400,0,0,0,0,0,0,0,0
Os01g0142500,2376,2641,2013,2526,1324,1242,1079,1248
Os01g0142600,17,27,20,45,85,54,17,2
Os01g0142800,2752,3307,4406,4554,9796,8979,4794,4138
Os01g0142875,0,0,3,0,0,0,0,0
Os01g0142950,0,0,1,1,0,0,0,0
Os01g0143100,550,515,646,615,1027,749,452,641
Os01g0143300,85,149,138,280,170,295,243,334
Os01g0143350,0,4,0,0,0,2,3,0
Os01g0143400,0,0,0,0,0,0,0,0
Os01g0143700,0,0,0,0,0,0,0,0
Os01g0143750,0,0,0,0,0,0,0,0
Os01g0143800,179,416,1410,2440,3348,2941,3213,3535
Os01g0143900,237,358,287,464,1240,1280,720,1164
Os01g0144000,512,673,812,728,1393,1468,1350,1405
Os01g0144100,433,358,1670,1670,2749,2704,6197,8061
Os01g0144200,513,602,916,1063,2043,1738,1200,1849
Os01g0144300,27,23,51,32,70,34,62,65
Os01g0144340,719,922,1216,1246,715,877,670,603
Os01g0144380,52,28,24,13,47,26,12,0
Os01g0144500,0,9,9,10,0,0,4,11
Os01g0144600,583,674,931,708,1149,1234,631,910
Os01g0144700,150,196,267,228,479,380,272,364
Os01g0144800,123,78,20,20,9,0,0,3
Os01g0144900,53,70,43,26,11,9,3,0
Os01g0145000,0,4,0,10,14,13,0,3
Os01g0145200,111,61,134,174,220,172,227,177
Os01g0145600,159,117,211,239,161,151,206,148
Os01g0146101,215,295,388,332,206,221,340,349
Os01g0146200,9,0,0,0,29,14,41,13
Os01g0146600,0,0,0,0,0,0,0,0
Os01g0146801,0,0,3,0,9,0,0,0
Os01g0147001,0,0,0,0,0,0,0,0
Os01g0147200,3796,4645,4387,4838,5406,4895,2593,2532
Os01g0147250,416,194,130,118,24,44,17,9
Os01g0147300,862,483,251,231,43,30,22,33
Os01g0147400,7,0,0,0,0,0,0,0
Os01g0147600,42,0,45,16,20,0,10,7
Os01g0147650,11,4,21,8,23,6,3,7
Os01g0147700,388,536,445,606,1090,1066,866,654
Os01g0147800,0,0,0,0,5,0,0,0
Os01g0147850,0,0,11,0,0,0,3,0
Os01g0147900,28623,34051,27993,34099,31053,29045,37230,46082
Os01g0147950,58,68,1640,55,1704,37,123,153
Os01g0148000,1108,1221,2593,2674,3613,3376,414,20
Os01g0148050,7284,7794,8520,8556,9037,8324,5330,4073
Os01g0148100,7,4,4,0,22,6,0,3
Os01g0148200,0,0,0,0,0,0,0,0
Os01g0148400,0,0,0,0,0,0,0,0
Os01g0148500,828,1452,1505,2203,2298,2719,1328,1359
Os01g0148700,1623,2305,1589,2427,1284,1447,1296,1070
Os01g0149200,0,7,1,1,3,0,4,13
Os01g0149350,4,3,0,4,38,31,62,10
Os01g0149400,338,456,230,258,732,582,327,326
Os01g0149500,10,36,50,61,61,51,64,35
Os01g0149600,419,814,224,548,1113,1123,484,460
Os01g0149700,33,53,0,0,108,160,75,20
Os01g0149750,0,0,0,0,108,6,0,4
Os01g0149800,59792,77021,29916,46806,11053,13645,39717,24967
Os01g0149900,743,822,733,928,586,827,365,197
Os01g0150000,5285,6693,5732,7582,3998,3969,4042,4422
Os01g0150100,837,578,714,777,769,852,701,539
Os01g0150200,1074,1673,1498,2082,1347,1935,1305,1189
Os01g0150400,20,18,0,0,0,0,0,0
Os01g0150500,0,0,0,0,0,0,0,0
Os01g0150700,21,19,22,22,5,0,0,6
Os01g0150800,31,42,120,89,81,74,44,37
Os01g0150900,12,15,45,84,0,0,0,2
Os01g0150950,0,1,1,1,0,0,0,0
Os01g0151100,2050,2017,1910,1974,1560,1930,1326,1111
Os01g0151200,23952,22142,22562,25632,8211,9689,11180,11062
Os01g0151400,1037,1202,687,685,660,1172,1154,807
Os01g0151500,248,210,175,156,157,123,219,258
Os01g0151600,794,693,1583,1588,1268,1135,983,1506
Os01g0151700,4300,3951,3673,3533,308,229,260,553
Os01g0151750,64,47,57,29,21,11,7,11
Os01g0151900,35,27,62,67,90,101,102,75
Os01g0152000,0,16,103,182,516,510,111,33
Os01g0152050,7,0,13,0,0,0,0,0
Os01g0152100,0,0,0,0,0,0,0,5
Os01g0152200,0,0,0,0,0,0,0,0
Os01g0152300,556,971,473,420,1017,949,437,807
Os01g0152500,0,0,0,0,0,0,0,0
Os01g0152600,100,197,69,65,57,67,40,22
Os01g0152675,6,2,0,4,3,1,4,0
Os01g0152687,0,0,0,0,0,0,0,0
Os01g0152700,533,544,351,336,577,587,470,672
Os01g0152800,364,482,216,108,105,24,98,78
Os01g0152850,104,16,0,54,44,99,0,29
Os01g0152900,1426,1942,816,932,1564,1350,587,878
Os01g0152950,68,109,87,147,170,179,71,55
Os01g0152951,32,28,12,23,5,9,28,6
Os01g0153000,39,100,73,84,185,305,100,11
Os01g0153050,123,115,0,0,62,19,16,0
Os01g0153100,2329,4822,1426,1921,4772,4176,1750,2148
Os01g0153150,30,32,39,51,33,80,102,58
Os01g0153200,0,20,5,3,12,23,4,22
Os01g0153250,68,72,117,167,76,124,126,23
Os01g0153275,0,23,37,0,294,169,13,0
Os01g0153300,3436,5786,1370,2015,2630,2373,1883,2732
Os01g0153400,1208,1443,1745,2003,2037,1898,1858,2093
